/Users/nithin/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2026-02-11 12:52:24,986 - INFO - Fetching NSE data for AAVAS from 2023-12-04 to 2026-02-11
2026-02-11 12:52:25,386 - ERROR - NSE API returned status 404
2026-02-11 12:52:25,386 - INFO - Falling back to Yahoo Finance for AAVAS
2026-02-11 12:52:25,386 - INFO - Fetching Yahoo Finance data for AAVAS.NS
2026-02-11 12:52:26,372 - INFO - Successfully fetched 542 records from Yahoo Finance
2026-02-11 12:52:26,698 - INFO - HTTP Request: POST https://uywnylyarazecapuxjvh.supabase.co/rest/v1/market_historical_ohlc?on_conflict=symbol%2Ctimeframe%2Ctimestamp&columns=%22close%22%2C%22high%22%2C%22symbol%22%2C%22volume%22%2C%22open%22%2C%22timeframe%22%2C%22low%22%2C%22adjusted_close%22%2C%22timestamp%22 "HTTP/2 201 Created"
2026-02-11 12:52:26,966 - INFO - Stored 542 OHLC records
2026-02-11 12:52:27,110 - INFO - HTTP Request: POST https://uywnylyarazecapuxjvh.supabase.co/rest/v1/rpc/update_sync_status "HTTP/2 204 No Content"
2026-02-11 12:52:27,113 - INFO - Updated sync status for AAVAS
2026-02-11 12:52:27,113 - INFO - Successfully synced 542 records for AAVAS
2026-02-11 12:52:28,114 - INFO - Processing 6/506: ABB
2026-02-11 12:52:28,115 - INFO - Fetching data for ABB from 2023-12-04 to 2026-02-11
2026-02-11 12:52:28,115 - INFO - Fetching NSE data for ABB from 2023-12-04 to 2026-02-11
2026-02-11 12:52:28,310 - ERROR - NSE API returned status 404
2026-02-11 12:52:28,310 - INFO - Falling back to Yahoo Finance for ABB
2026-02-11 12:52:28,310 - INFO - Fetching Yahoo Finance data for ABB.NS
2026-02-11 12:52:29,065 - INFO - Successfully fetched 542 records from Yahoo Finance
2026-02-11 12:52:29,496 - INFO - HTTP Request: POST https://uywnylyarazecapuxjvh.supabase.co/rest/v1/market_historical_ohlc?on_conflict=symbol%2Ctimeframe%2Ctimestamp&columns=%22close%22%2C%22high%22%2C%22symbol%22%2C%22volume%22%2C%22open%22%2C%22timeframe%22%2C%22low%22%2C%22adjusted_close%22%2C%22timestamp%22 "HTTP/2 201 Created"
2026-02-11 12:52:29,781 - INFO - Stored 542 OHLC records
2026-02-11 12:52:29,905 - INFO - HTTP Request: POST https://uywnylyarazecapuxjvh.supabase.co/rest/v1/rpc/update_sync_status "HTTP/2 204 No Content"
2026-02-11 12:52:29,909 - INFO - Updated sync status for ABB
2026-02-11 12:52:29,909 - INFO - Successfully synced 542 records for ABB
2026-02-11 12:52:30,910 - INFO - Processing 7/506: ABBOTINDIA
2026-02-11 12:52:30,910 - INFO - Fetching data for ABBOTINDIA from 2023-12-04 to 2026-02-11
2026-02-11 12:52:30,910 - INFO - Fetching NSE data for ABBOTINDIA from 2023-12-04 to 2026-02-11
2026-02-11 12:52:31,079 - ERROR - NSE API returned status 404
2026-02-11 12:52:31,080 - INFO - Falling back to Yahoo Finance for ABBOTINDIA
2026-02-11 12:52:31,080 - INFO - Fetching Yahoo Finance data for ABBOTINDIA.NS
2026-02-11 12:52:32,283 - INFO - Successfully fetched 542 records from Yahoo Finance
2026-02-11 12:52:32,787 - INFO - HTTP Request: POST https://uywnylyarazecapuxjvh.supabase.co/rest/v1/market_historical_ohlc?on_conflict=symbol%2Ctimeframe%2Ctimestamp&columns=%22close%22%2C%22high%22%2C%22symbol%22%2C%22volume%22%2C%22open%22%2C%22timeframe%22%2C%22low%22%2C%22adjusted_close%22%2C%22timestamp%22 "HTTP/2 201 Created"
2026-02-11 12:52:32,807 - INFO - Stored 542 OHLC records
2026-02-11 12:52:32,965 - INFO - HTTP Request: POST https://uywnylyarazecapuxjvh.supabase.co/rest/v1/rpc/update_sync_status "HTTP/2 204 No Content"
2026-02-11 12:52:32,969 - INFO - Updated sync status for ABBOTINDIA
2026-02-11 12:52:32,969 - INFO - Successfully synced 542 records for ABBOTINDIA
2026-02-11 12:52:33,970 - INFO - Processing 8/506: ABCAPITAL
2026-02-11 12:52:33,970 - INFO - Fetching data for ABCAPITAL from 2023-12-04 to 2026-02-11
2026-02-11 12:52:33,970 - INFO - Fetching NSE data for ABCAPITAL from 2023-12-04 to 2026-02-11
2026-02-11 12:52:34,070 - ERROR - NSE API returned status 503
2026-02-11 12:52:34,071 - INFO - Falling back to Yahoo Finance for ABCAPITAL
2026-02-11 12:52:34,071 - INFO - Fetching Yahoo Finance data for ABCAPITAL.NS
2026-02-11 12:52:34,949 - INFO - Successfully fetched 542 records from Yahoo Finance
2026-02-11 12:52:35,424 - INFO - HTTP Request: POST https://uywnylyarazecapuxjvh.supabase.co/rest/v1/market_historical_ohlc?on_conflict=symbol%2Ctimeframe%2Ctimestamp&columns=%22close%22%2C%22high%22%2C%22symbol%22%2C%22volume%22%2C%22open%22%2C%22timeframe%22%2C%22low%22%2C%22adjusted_close%22%2C%22timestamp%22 "HTTP/2 201 Created"
2026-02-11 12:52:35,435 - INFO - Stored 542 OHLC records
2026-02-11 12:52:35,611 - INFO - HTTP Request: POST https://uywnylyarazecapuxjvh.supabase.co/rest/v1/rpc/update_sync_status "HTTP/2 204 No Content"
2026-02-11 12:52:35,613 - INFO - Updated sync status for ABCAPITAL
2026-02-11 12:52:35,613 - INFO - Successfully synced 542 records for ABCAPITAL
2026-02-11 12:52:36,617 - INFO - Processing 9/506: ABFRL
2026-02-11 12:52:36,617 - INFO - Fetching data for ABFRL from 2023-12-04 to 2026-02-11
2026-02-11 12:52:36,617 - INFO - Fetching NSE data for ABFRL from 2023-12-04 to 2026-02-11
2026-02-11 12:52:37,319 - ERROR - NSE API returned status 404
2026-02-11 12:52:37,319 - INFO - Falling back to Yahoo Finance for ABFRL
2026-02-11 12:52:37,319 - INFO - Fetching Yahoo Finance data for ABFRL.NS
